Establishment Category,Establishment Details,Establishment Status,Report Date,State,State Status
Food and drink,Restaurant dining; Bars,Reopened,"Aug. 20, 2020",OK,Reopened
Personal care,"Salons, barbershops, spas, pet groomers, etc.; Tattoo parlors",Reopened,"Aug. 20, 2020",OK,Reopened
Houses of worship,,Reopened,"Aug. 20, 2020",OK,Reopened
Entertainment,"Movie theaters, sports venues, museums; Nightclubs",Reopened,"Aug. 20, 2020",OK,Reopened
Outdoor and recreation,State parks; Zoos; Gyms,Reopened,"Aug. 20, 2020",OK,Reopened
Industries,Offices,Reopened,"Aug. 20, 2020",OK,Reopened
Retail,Retail stores; Shopping malls,Open,"Aug. 20, 2020",PA,Reopened
Food and drink,Restaurants and bars,Open,"Aug. 20, 2020",PA,Reopened
Personal care,"Hair salons, barbershops, spas",Open,"Aug. 20, 2020",PA,Reopened
Houses of worship,,Open,"Aug. 20, 2020",PA,Reopened
Entertainment,"Casinos, theaters",Open,"Aug. 20, 2020",PA,Reopened
Outdoor and recreation,"Golf courses, marinas, private campgrounds; Beaches; State parks; Public pools; Gyms",Open,"Aug. 20, 2020",PA,Reopened
Retail,Retail stores; Shopping malls,Reopened,"Aug. 20, 2020",PA,Reopened
Food and drink,Restaurants and bars,Reopened,"Aug. 20, 2020",PA,Reopened
Personal care,"Hair salons, barbershops, spas",Reopened,"Aug. 20, 2020",PA,Reopened
Houses of worship,,Reopened,"Aug. 20, 2020",PA,Reopened
Entertainment,"Casinos, theaters",Reopened,"Aug. 20, 2020",PA,Reopened
Outdoor and recreation,"Golf courses, marinas, private campgrounds; Beaches; State parks; Public pools; Gyms",Reopened,"Aug. 20, 2020",PA,Reopened
Retail,Retail stores,Open,"Aug. 20, 2020",SC,Reopened
Food and drink,Restaurant dining; Bars,Open,"Aug. 20, 2020",SC,Reopened
Personal care,"Salons, barbershops, tattoo parlors, etc.",Open,"Aug. 20, 2020",SC,Reopened
Houses of worship,,Open,"Aug. 20, 2020",SC,Reopened
Entertainment,"Museums, zoos, aquariums; Movie theaters, stadiums, festival parades, racetracks; Nightclubs",Open,"Aug. 20, 2020",SC,Reopened
Outdoor and recreation,"Beaches, piers, docks, etc.; Gyms; Pools; Amusement parks, water parks",Open,"Aug. 20, 2020",SC,Reopened
Retail,Retail stores,Reopened,"Aug. 20, 2020",SC,Reopened
Food and drink,Restaurant dining; Bars,Reopened,"Aug. 20, 2020",SC,Reopened
Personal care,"Salons, barbershops, tattoo parlors, etc.",Reopened,"Aug. 20, 2020",SC,Reopened
Houses of worship,,Reopened,"Aug. 20, 2020",SC,Reopened
Entertainment,"Museums, zoos, aquariums; Movie theaters, stadiums, festival parades, racetracks; Nightclubs",Reopened,"Aug. 20, 2020",SC,Reopened
Outdoor and recreation,"Beaches, piers, docks, etc.; Gyms; Pools; Amusement parks, water parks",Reopened,"Aug. 20, 2020",SC,Reopened
Retail,Retail stores,Open,"Aug. 20, 2020",SD,Reopened
Food and drink,Restaurant dining,Open,"Aug. 20, 2020",SD,Reopened
Personal care,"Salons, barbershops",Open,"Aug. 20, 2020",SD,Reopened
Houses of worship,,Open,"Aug. 20, 2020",SD,Reopened
Outdoor and recreation,Gyms,Open,"Aug. 20, 2020",SD,Reopened
Retail,Retail stores,Reopened,"Aug. 20, 2020",SD,Reopened
Food and drink,Restaurant dining,Reopened,"Aug. 20, 2020",SD,Reopened
Personal care,"Salons, barbershops",Reopened,"Aug. 20, 2020",SD,Reopened
Houses of worship,,Reopened,"Aug. 20, 2020",SD,Reopened
Outdoor and recreation,Gyms,Reopened,"Aug. 20, 2020",SD,Reopened
Retail,Retail stores,Open,"Aug. 20, 2020",UT,Reopened
Food and drink,Restaurant dining,Open,"Aug. 20, 2020",UT,Reopened
Personal care,"Salons, personal care businesses",Open,"Aug. 20, 2020",UT,Reopened
Houses of worship,,Open,"Aug. 20, 2020",UT,Reopened
Entertainment,"Movie theatres, museums, libraries, concerts",Open,"Aug. 20, 2020",UT,Reopened
Outdoor and recreation,Gyms; Pools,Open,"Aug. 20, 2020",UT,Reopened
Retail,Retail stores,Reopened,"Aug. 20, 2020",UT,Reopened
Food and drink,Restaurant dining,Reopened,"Aug. 20, 2020",UT,Reopened
Personal care,"Salons, personal care businesses",Reopened,"Aug. 20, 2020",UT,Reopened
Houses of worship,,Reopened,"Aug. 20, 2020",UT,Reopened
Entertainment,"Movie theatres, museums, libraries, concerts",Reopened,"Aug. 20, 2020",UT,Reopened
Outdoor and recreation,Gyms; Pools,Reopened,"Aug. 20, 2020",UT,Reopened
Retail,Retail stores,Open,"Aug. 20, 2020",VT,Reopened
Food and drink,Restaurant dining; Bars,Open,"Aug. 20, 2020",VT,Reopened
Personal care,"Hair salons and barbershops; Nail salons, spas, tattoo parlors",Open,"Aug. 20, 2020",VT,Reopened
Houses of worship,,Open,"Aug. 20, 2020",VT,Reopened
Entertainment,"Museums, theaters, libraries",Open,"Aug. 20, 2020",VT,Reopened
Outdoor and recreation,"State parks, golf courses, trails, etc.; Campgrounds; Gyms, fitness centers",Open,"Aug. 20, 2020",VT,Reopened
Industries,"Manufacturing, construction, distribution",Open,"Aug. 20, 2020",VT,Reopened
Retail,Retail stores,Reopened,"Aug. 20, 2020",VT,Reopened
Food and drink,Restaurant dining; Bars,Reopened,"Aug. 20, 2020",VT,Reopened
Personal care,"Hair salons and barbershops; Nail salons, spas, tattoo parlors",Reopened,"Aug. 20, 2020",VT,Reopened
Houses of worship,,Reopened,"Aug. 20, 2020",VT,Reopened
Entertainment,"Museums, theaters, libraries",Reopened,"Aug. 20, 2020",VT,Reopened
Outdoor and recreation,"State parks, golf courses, trails, etc.; Campgrounds; Gyms, fitness centers",Reopened,"Aug. 20, 2020",VT,Reopened
Industries,"Manufacturing, construction, distribution",Reopened,"Aug. 20, 2020",VT,Reopened
Retail,Retail stores,Open,"Aug. 20, 2020",VA,Reopened
Food and drink,Restaurants and bars,Open,"Aug. 20, 2020",VA,Reopened
Personal care,"Salons, barbershops, etc.",Open,"Aug. 20, 2020",VA,Reopened
Houses of worship,,Open,"Aug. 20, 2020",VA,Reopened
Entertainment,"Museums, zoos, aquariums, outdoor concerts",Open,"Aug. 20, 2020",VA,Reopened
Outdoor and recreation,Campgrounds; Beaches; Gyms; Pools,Open,"Aug. 20, 2020",VA,Reopened
Retail,Retail stores,Reopened,"Aug. 20, 2020",VA,Reopened
Food and drink,Restaurants and bars,Reopened,"Aug. 20, 2020",VA,Reopened
Personal care,"Salons, barbershops, etc.",Reopened,"Aug. 20, 2020",VA,Reopened
Houses of worship,,Reopened,"Aug. 20, 2020",VA,Reopened
Entertainment,"Museums, zoos, aquariums, outdoor concerts",Reopened,"Aug. 20, 2020",VA,Reopened
Outdoor and recreation,Campgrounds; Beaches; Gyms; Pools,Reopened,"Aug. 20, 2020",VA,Reopened
Retail,Retail stores; Malls,Open,"Aug. 20, 2020",WV,Reopened
Food and drink,Restaurant dining; Bars,Open,"Aug. 20, 2020",WV,Reopened
Personal care,"Salons, barbershops, pet groomers; Tanning salons; Massage parlors and spas",Open,"Aug. 20, 2020",WV,Reopened
Houses of worship,,Open,"Aug. 20, 2020",WV,Reopened
Entertainment,"Museums, zoos; Bowling alleys, pool halls, roller rinks; Casinos; Movie theaters; Amusement parks, fairs, festivals",Open,"Aug. 20, 2020",WV,Reopened
Outdoor and recreation,"Gyms, recreation centers; State parks, campgrounds; Pools",Open,"Aug. 20, 2020",WV,Reopened
Retail,Retail stores; Malls,Reopened,"Aug. 20, 2020",WV,Reopened
Food and drink,Restaurant dining; Bars,Reopened,"Aug. 20, 2020",WV,Reopened
Personal care,"Salons, barbershops, pet groomers; Tanning salons; Massage parlors and spas",Reopened,"Aug. 20, 2020",WV,Reopened
Houses of worship,,Reopened,"Aug. 20, 2020",WV,Reopened
Entertainment,"Museums, zoos; Bowling alleys, pool halls, roller rinks; Casinos; Movie theaters; Amusement parks, fairs, festivals",Reopened,"Aug. 20, 2020",WV,Reopened
Outdoor and recreation,"Gyms, recreation centers; State parks, campgrounds; Pools",Reopened,"Aug. 20, 2020",WV,Reopened
Retail,Retail stores,Open,"Aug. 20, 2020",WI,Reopened
Food and drink,Restaurants and bars,Open,"Aug. 20, 2020",WI,Reopened
Personal care,"Pet groomers for curbside dropoff; Hair salons, spas, barbershops",Open,"Aug. 20, 2020",WI,Reopened
Houses of worship,,Open,"Aug. 20, 2020",WI,Reopened
Outdoor and recreation,Golf courses; State parks; Gyms,Open,"Aug. 20, 2020",WI,Reopened
Retail,Retail stores,Reopened,"Aug. 20, 2020",WI,Reopened
Food and drink,Restaurants and bars,Reopened,"Aug. 20, 2020",WI,Reopened
Personal care,"Pet groomers for curbside dropoff; Hair salons, spas, barbershops",Reopened,"Aug. 20, 2020",WI,Reopened
Houses of worship,,Reopened,"Aug. 20, 2020",WI,Reopened
Outdoor and recreation,Golf courses; State parks; Gyms,Reopened,"Aug. 20, 2020",WI,Reopened
Retail,Retail stores,Open,"Aug. 20, 2020",WY,Reopened
Food and drink,Restaurant dining; Bars,Open,"Aug. 20, 2020",WY,Reopened
Personal care,"Hair salons, barbershops, tattoo parlors, massage therapy, etc.",Open,"Aug. 20, 2020",WY,Reopened
Houses of worship,,Open,"Aug. 20, 2020",WY,Reopened
Entertainment,"Movie theaters, entertaiment venues",Open,"Aug. 20, 2020",WY,Reopened
Outdoor and recreation,Gyms; State parks,Open,"Aug. 20, 2020",WY,Reopened
Retail,Retail stores,Reopened,"Aug. 20, 2020",WY,Reopened
Food and drink,Restaurant dining; Bars,Reopened,"Aug. 20, 2020",WY,Reopened
Personal care,"Hair salons, barbershops, tattoo parlors, massage therapy, etc.",Reopened,"Aug. 20, 2020",WY,Reopened
Houses of worship,,Reopened,"Aug. 20, 2020",WY,Reopened
Entertainment,"Movie theaters, entertaiment venues",Reopened,"Aug. 20, 2020",WY,Reopened
Outdoor and recreation,Gyms; State parks,Reopened,"Aug. 20, 2020",WY,Reopened
Retail,Retail stores,Open,"Aug. 20, 2020",DC,Forward
Food and drink,Restaurants dining,Open,"Aug. 20, 2020",DC,Forward
Personal care,"Barbershops, hair salons; Nail salons, waxing salons, spas",Open,"Aug. 20, 2020",DC,Forward
Houses of worship,,Open,"Aug. 20, 2020",DC,Forward
Entertainment,"Museums, libraries",Open,"Aug. 20, 2020",DC,Forward
Outdoor and recreation,"Dog parks, golf courses, tennis courts, parks; Gyms; Pools",Open,"Aug. 20, 2020",DC,Forward
Entertainment,Nightclubs,Closed,"Aug. 20, 2020",DC,Forward
Retail,Retail stores,Reopened,"Aug. 20, 2020",DC,Forward
Food and drink,Restaurants dining,Reopened,"Aug. 20, 2020",DC,Forward
Personal care,"Barbershops, hair salons; Nail salons, waxing salons, spas",Reopened,"Aug. 20, 2020",DC,Forward
Houses of worship,,Reopened,"Aug. 20, 2020",DC,Forward
Entertainment,"Museums, libraries",Reopened,"Aug. 20, 2020",DC,Forward
Outdoor and recreation,"Dog parks, golf courses, tennis courts, parks; Gyms; Pools",Reopened,"Aug. 20, 2020",DC,Forward
Retail,Retail stores,Open,"Aug. 20, 2020",ME,Forward
Food and drink,Restaurants; Bars open for outdoor service,Open,"Aug. 20, 2020",ME,Forward
Personal care,"Hair salons, barbershops, pet groomers; Nail salons and tattoo parlors; Spas and massage parlors",Open,"Aug. 20, 2020",ME,Forward
Houses of worship,,Open,"Aug. 20, 2020",ME,Forward
Entertainment,"Amusement parks, water parks; Bowling alleys and arcades; Movie theaters; Performing arts venues; Casinos",Open,"Aug. 20, 2020",ME,Forward
Outdoor and recreation,"State parks, boating, golf courses; Remote campgrounds, hunting and fishing; Private campgrounds, RV parks; Gyms",Open,"Aug. 20, 2020",ME,Forward
Food and drink,Bars for indoor service,Closed,"Aug. 20, 2020",ME,Forward
Retail,Retail stores,Reopened,"Aug. 20, 2020",ME,Forward
Food and drink,Restaurants; Bars open for outdoor service,Reopened,"Aug. 20, 2020",ME,Forward
Personal care,"Hair salons, barbershops, pet groomers; Nail salons and tattoo parlors; Spas and massage parlors",Reopened,"Aug. 20, 2020",ME,Forward
Houses of worship,,Reopened,"Aug. 20, 2020",ME,Forward
Entertainment,"Amusement parks, water parks; Bowling alleys and arcades; Movie theaters; Performing arts venues; Casinos",Reopened,"Aug. 20, 2020",ME,Forward
Outdoor and recreation,"State parks, boating, golf courses; Remote campgrounds, hunting and fishing; Private campgrounds, RV parks; Gyms",Reopened,"Aug. 20, 2020",ME,Forward
Retail,Retail stores; Malls in some regions,Open,"Aug. 20, 2020",NY,Forward
Food and drink,Outdoor dining at restaurants in some regions; Indoor dining in some regions,Open,"Aug. 20, 2020",NY,Forward
Personal care,"Hair salons, barbershops; Tattoo parlors, massage parlors, nail salons",Open,"Aug. 20, 2020",NY,Forward
Houses of worship,,Open,"Aug. 20, 2020",NY,Forward
Entertainment,Museums and aquariums in some regions; Bowling alleys,Open,"Aug. 20, 2020",NY,Forward
Outdoor and recreation,"Beaches; Fishing and hunting; Public pools and playgrounds; Outdoor zoos, botanical gardens and nature parks",Open,"Aug. 20, 2020",NY,Forward
Industries,"Construction, manufacturing; Offices; Film and TV production",Open,"Aug. 20, 2020",NY,Forward
Entertainment,"Movie theaters, casinos; Amusement parks",Closed,"Aug. 20, 2020",NY,Forward
Outdoor and recreation,Gyms,Closed,"Aug. 20, 2020",NY,Forward
Retail,Retail stores; Malls in some regions,Reopened,"Aug. 20, 2020",NY,Forward
Food and drink,Outdoor dining at restaurants in some regions; Indoor dining in some regions,Reopened,"Aug. 20, 2020",NY,Forward
Personal care,"Hair salons, barbershops; Tattoo parlors, massage parlors, nail salons",Reopened,"Aug. 20, 2020",NY,Forward
Houses of worship,,Reopened,"Aug. 20, 2020",NY,Forward
Entertainment,Museums and aquariums in some regions; Bowling alleys,Reopened,"Aug. 20, 2020",NY,Forward
Outdoor and recreation,"Beaches; Fishing and hunting; Public pools and playgrounds; Outdoor zoos, botanical gardens and nature parks",Reopened,"Aug. 20, 2020",NY,Forward
Industries,"Construction, manufacturing; Offices; Film and TV production",Reopened,"Aug. 20, 2020",NY,Forward
Retail,Retail stores,Open,"Aug. 20, 2020",OH,Forward
Food and drink,Restaurant dining and bars,Open,"Aug. 20, 2020",OH,Forward
Personal care,"Salons, barbershops, etc.",Open,"Aug. 20, 2020",OH,Forward
Houses of worship,,Open,"Aug. 20, 2020",OH,Forward
Entertainment,"Movie theaters, museums, art galleries; Casinos, racinos, amusement parks, water parks",Open,"Aug. 20, 2020",OH,Forward
Outdoor and recreation,"Campgrounds; Gyms, pools, and sports leagues; Bowling alleys, miniature golf and batting cages; Aquariums, zoos; Skating rinks, playgrounds, country clubs",Open,"Aug. 20, 2020",OH,Forward
Industries,"Manufacturing, distribution, construction; Offices",Open,"Aug. 20, 2020",OH,Forward
Retail,Retail stores,Reopened,"Aug. 20, 2020",OH,Forward
Food and drink,Restaurant dining and bars,Reopened,"Aug. 20, 2020",OH,Forward
Personal care,"Salons, barbershops, etc.",Reopened,"Aug. 20, 2020",OH,Forward
Houses of worship,,Reopened,"Aug. 20, 2020",OH,Forward
Entertainment,"Movie theaters, museums, art galleries; Casinos, racinos, amusement parks, water parks",Reopened,"Aug. 20, 2020",OH,Forward
Outdoor and recreation,"Campgrounds; Gyms, pools, and sports leagues; Bowling alleys, miniature golf and batting cages; Aquariums, zoos; Skating rinks, playgrounds, country clubs",Reopened,"Aug. 20, 2020",OH,Forward
Industries,"Manufacturing, distribution, construction; Offices",Reopened,"Aug. 20, 2020",OH,Forward
Retail,Retail stores,Open,"Aug. 20, 2020",TN,Forward
Food and drink,Restaurant dining,Open,"Aug. 20, 2020",TN,Forward
Personal care,"Salons, barbershops, etc.",Open,"Aug. 20, 2020",TN,Forward
Houses of worship,,Open,"Aug. 20, 2020",TN,Forward
Entertainment,"Theaters, museums, amusement parks",Open,"Aug. 20, 2020",TN,Forward
Outdoor and recreation,State parks; Gyms,Open,"Aug. 20, 2020",TN,Forward
Retail,Retail stores,Reopened,"Aug. 20, 2020",TN,Forward
Food and drink,Restaurant dining,Reopened,"Aug. 20, 2020",TN,Forward
Personal care,"Salons, barbershops, etc.",Reopened,"Aug. 20, 2020",TN,Forward
Houses of worship,,Reopened,"Aug. 20, 2020",TN,Forward
Entertainment,"Theaters, museums, amusement parks",Reopened,"Aug. 20, 2020",TN,Forward
Outdoor and recreation,State parks; Gyms,Reopened,"Aug. 20, 2020",TN,Forward
Retail,Retail stores,Open,"Aug. 20, 2020",AL,Pausing
Food and drink,"Restaurant dining, bars and breweries",Open,"Aug. 20, 2020",AL,Pausing
Personal care,Salons,Open,"Aug. 20, 2020",AL,Pausing
Houses of worship,,Open,"Aug. 20, 2020",AL,Pausing
Entertainment,Entertainment venues,Open,"Aug. 20, 2020",AL,Pausing
Outdoor and recreation,Beaches; Gyms,Open,"Aug. 20, 2020",AL,Pausing
Retail,Retail stores,Reopened,"Aug. 20, 2020",AL,Pausing
Food and drink,"Restaurant dining, bars and breweries",Reopened,"Aug. 20, 2020",AL,Pausing
Personal care,Salons,Reopened,"Aug. 20, 2020",AL,Pausing
Houses of worship,,Reopened,"Aug. 20, 2020",AL,Pausing
Entertainment,Entertainment venues,Reopened,"Aug. 20, 2020",AL,Pausing
Outdoor and recreation,Beaches; Gyms,Reopened,"Aug. 20, 2020",AL,Pausing
Retail,Retail,Open,"Aug. 20, 2020",AR,Pausing
Food and drink,Restaurant dining; Bars,Open,"Aug. 20, 2020",AR,Pausing
Personal care,"Hair salons, barbershops, nail salons, etc.",Open,"Aug. 20, 2020",AR,Pausing
Houses of worship,,Open,"Aug. 20, 2020",AR,Pausing
Entertainment,"Theaters, stadiums, museums, bowling alleys; Casinos; Large venues",Open,"Aug. 20, 2020",AR,Pausing
Outdoor and recreation,Campgrounds; Gyms; Pools,Open,"Aug. 20, 2020",AR,Pausing
Retail,Retail,Reopened,"Aug. 20, 2020",AR,Pausing
Food and drink,Restaurant dining; Bars,Reopened,"Aug. 20, 2020",AR,Pausing
Personal care,"Hair salons, barbershops, nail salons, etc.",Reopened,"Aug. 20, 2020",AR,Pausing
Houses of worship,,Reopened,"Aug. 20, 2020",AR,Pausing
Entertainment,"Theaters, stadiums, museums, bowling alleys; Casinos; Large venues",Reopened,"Aug. 20, 2020",AR,Pausing
Outdoor and recreation,Campgrounds; Gyms; Pools,Reopened,"Aug. 20, 2020",AR,Pausing
Retail,"Retail stores, malls",Open,"Aug. 20, 2020",CT,Pausing
Food and drink,Restaurant dining,Open,"Aug. 20, 2020",CT,Pausing
Personal care,"Hair salons, barbershops; Nail salons; Tattoo parlors, spas",Open,"Aug. 20, 2020",CT,Pausing
Houses of worship,,Open,"Aug. 20, 2020",CT,Pausing
Entertainment,"Museums, zoos; Casinos; Movie theaters; Libraries; Amusement parks, bowling alleys",Open,"Aug. 20, 2020",CT,Pausing
Outdoor and recreation,Beaches; Gyms; State campgrounds,Open,"Aug. 20, 2020",CT,Pausing
Industries,Offices,Open,"Aug. 20, 2020",CT,Pausing
Food and drink,Bars,Closed,"Aug. 20, 2020",CT,Pausing
Retail,"Retail stores, malls",Reopened,"Aug. 20, 2020",CT,Pausing
Food and drink,Restaurant dining,Reopened,"Aug. 20, 2020",CT,Pausing
Personal care,"Hair salons, barbershops; Nail salons; Tattoo parlors, spas",Reopened,"Aug. 20, 2020",CT,Pausing
Houses of worship,,Reopened,"Aug. 20, 2020",CT,Pausing
Entertainment,"Museums, zoos; Casinos; Movie theaters; Libraries; Amusement parks, bowling alleys",Reopened,"Aug. 20, 2020",CT,Pausing
Outdoor and recreation,Beaches; Gyms; State campgrounds,Reopened,"Aug. 20, 2020",CT,Pausing
Industries,Offices,Reopened,"Aug. 20, 2020",CT,Pausing
Retail,Retail stores; Malls,Open,"Aug. 20, 2020",DE,Pausing
Food and drink,Farmers markets; Restaurants; Bars in some areas,Open,"Aug. 20, 2020",DE,Pausing
Personal care,"Barber shops, hair salons, tanning salons; Nail salons, tattoo parlors, massage therapy",Open,"Aug. 20, 2020",DE,Pausing
Houses of worship,,Open,"Aug. 20, 2020",DE,Pausing
Entertainment,"Museums, libraries, galleries, live performances; Casinos",Open,"Aug. 20, 2020",DE,Pausing
Outdoor and recreation,Beaches; Pools; Gyms; Campgrounds,Open,"Aug. 20, 2020",DE,Pausing
Retail,Retail stores; Malls,Reopened,"Aug. 20, 2020",DE,Pausing
Food and drink,Farmers markets; Restaurants; Bars in some areas,Reopened,"Aug. 20, 2020",DE,Pausing
Personal care,"Barber shops, hair salons, tanning salons; Nail salons, tattoo parlors, massage therapy",Reopened,"Aug. 20, 2020",DE,Pausing
Houses of worship,,Reopened,"Aug. 20, 2020",DE,Pausing
Entertainment,"Museums, libraries, galleries, live performances; Casinos",Reopened,"Aug. 20, 2020",DE,Pausing
Outdoor and recreation,Beaches; Pools; Gyms; Campgrounds,Reopened,"Aug. 20, 2020",DE,Pausing
Retail,Retail,Open,"Aug. 20, 2020",ID,Pausing
Food and drink,Restaurant dining; Bars,Open,"Aug. 20, 2020",ID,Pausing
Personal care,Hair salons,Open,"Aug. 20, 2020",ID,Pausing
Houses of worship,,Open,"Aug. 20, 2020",ID,Pausing
Entertainment,Movie theaters; Nightclubs; Large venues,Open,"Aug. 20, 2020",ID,Pausing
Outdoor and recreation,Gyms; Pools and water parks,Open,"Aug. 20, 2020",ID,Pausing
Retail,Retail,Reopened,"Aug. 20, 2020",ID,Pausing
Food and drink,Restaurant dining; Bars,Reopened,"Aug. 20, 2020",ID,Pausing
Personal care,Hair salons,Reopened,"Aug. 20, 2020",ID,Pausing
Houses of worship,,Reopened,"Aug. 20, 2020",ID,Pausing
Entertainment,Movie theaters; Nightclubs; Large venues,Reopened,"Aug. 20, 2020",ID,Pausing
Outdoor and recreation,Gyms; Pools and water parks,Reopened,"Aug. 20, 2020",ID,Pausing
Retail,Retail stores,Open,"Aug. 20, 2020",IN,Pausing
Food and drink,Restaurant dining; Bars and nightclubs,Open,"Aug. 20, 2020",IN,Pausing
Personal care,"Spas, salons, barbershops, tattoo parlors",Open,"Aug. 20, 2020",IN,Pausing
Houses of worship,,Open,"Aug. 20, 2020",IN,Pausing
Entertainment,"Libraries; Museums, zoos and aquariums; Venues; Movie theaters; Bowling alleys; Conventions, fairs, parades and similar events in most counties",Open,"Aug. 20, 2020",IN,Pausing
Outdoor and recreation,"Gyms; Pools, tennis and basketball courts; Campgrounds; Amusement parks, water parks",Open,"Aug. 20, 2020",IN,Pausing
Industries,"Manufacturing, offices",Open,"Aug. 20, 2020",IN,Pausing
Retail,Retail stores,Reopened,"Aug. 20, 2020",IN,Pausing
Food and drink,Restaurant dining; Bars and nightclubs,Reopened,"Aug. 20, 2020",IN,Pausing
Personal care,"Spas, salons, barbershops, tattoo parlors",Reopened,"Aug. 20, 2020",IN,Pausing
Houses of worship,,Reopened,"Aug. 20, 2020",IN,Pausing
Entertainment,"Libraries; Museums, zoos and aquariums; Venues; Movie theaters; Bowling alleys; Conventions, fairs, parades and similar events in most counties",Reopened,"Aug. 20, 2020",IN,Pausing
Outdoor and recreation,"Gyms; Pools, tennis and basketball courts; Campgrounds; Amusement parks, water parks",Reopened,"Aug. 20, 2020",IN,Pausing
Industries,"Manufacturing, offices",Reopened,"Aug. 20, 2020",IN,Pausing
Retail,Retail stores; Malls,Open,"Aug. 20, 2020",MD,Pausing
Food and drink,"Outdoor service at breweries, wineries, and distilleries; Restaurants; Bars",Open,"Aug. 20, 2020",MD,Pausing
Personal care,"Hair salons, barbershops; Nail salons, massage parlors, tanning salons, tattoo parlors",Open,"Aug. 20, 2020",MD,Pausing
Houses of worship,,Open,"Aug. 20, 2020",MD,Pausing
Entertainment,Casinos,Open,"Aug. 20, 2020",MD,Pausing
Outdoor and recreation,"Golf courses, outdoor shooting ranges, marinas, campgrounds; Beaches; Outdoor pools and day camps; Gyms",Open,"Aug. 20, 2020",MD,Pausing
Industries,"Manufacturing; Construction, offices",Open,"Aug. 20, 2020",MD,Pausing
Entertainment,Theaters,Closed,"Aug. 20, 2020",MD,Pausing
Retail,Retail stores; Malls,Reopened,"Aug. 20, 2020",MD,Pausing
Food and drink,"Outdoor service at breweries, wineries, and distilleries; Restaurants; Bars",Reopened,"Aug. 20, 2020",MD,Pausing
Personal care,"Hair salons, barbershops; Nail salons, massage parlors, tanning salons, tattoo parlors",Reopened,"Aug. 20, 2020",MD,Pausing
Houses of worship,,Reopened,"Aug. 20, 2020",MD,Pausing
Entertainment,Casinos,Reopened,"Aug. 20, 2020",MD,Pausing
Outdoor and recreation,"Golf courses, outdoor shooting ranges, marinas, campgrounds; Beaches; Outdoor pools and day camps; Gyms",Reopened,"Aug. 20, 2020",MD,Pausing
Industries,"Manufacturing; Construction, offices",Reopened,"Aug. 20, 2020",MD,Pausing
Retail,Retail stores,Open,"Aug. 20, 2020",MA,Pausing
Food and drink,Restaurant dining,Open,"Aug. 20, 2020",MA,Pausing
Personal care,"Hair salons, barbershops; Pet grooming; Nail salons, massage parlors, tanning salons",Open,"Aug. 20, 2020",MA,Pausing
Houses of worship,,Open,"Aug. 20, 2020",MA,Pausing
Entertainment,"Bowling alleys; Museums, aquariums; Theaters and performance venues; Movie theaters; Casinos",Open,"Aug. 20, 2020",MA,Pausing
Outdoor and recreation,"Golf courses; Beaches, parks, fishing, hunting and boating; Gyms",Open,"Aug. 20, 2020",MA,Pausing
Industries,"Construction, manufacturing; Offices; Hotels, lodging",Open,"Aug. 20, 2020",MA,Pausing
Food and drink,Bars,Closed,"Aug. 20, 2020",MA,Pausing
Entertainment,"Ballrooms, stadiums and convention halls",Closed,"Aug. 20, 2020",MA,Pausing
Retail,Retail stores,Reopened,"Aug. 20, 2020",MA,Pausing
Food and drink,Restaurant dining,Reopened,"Aug. 20, 2020",MA,Pausing
Personal care,"Hair salons, barbershops; Pet grooming; Nail salons, massage parlors, tanning salons",Reopened,"Aug. 20, 2020",MA,Pausing
Houses of worship,,Reopened,"Aug. 20, 2020",MA,Pausing
Entertainment,"Bowling alleys; Museums, aquariums; Theaters and performance venues; Movie theaters; Casinos",Reopened,"Aug. 20, 2020",MA,Pausing
Outdoor and recreation,"Golf courses; Beaches, parks, fishing, hunting and boating; Gyms",Reopened,"Aug. 20, 2020",MA,Pausing
Industries,"Construction, manufacturing; Offices; Hotels, lodging",Reopened,"Aug. 20, 2020",MA,Pausing
Retail,Retail stores,Open,"Aug. 20, 2020",MS,Pausing
Food and drink,"Restaurant dining, bars",Open,"Aug. 20, 2020",MS,Pausing
Personal care,Salons and barbershops; Tattoo parlors,Open,"Aug. 20, 2020",MS,Pausing
Houses of worship,,Open,"Aug. 20, 2020",MS,Pausing
Entertainment,"Casinos; Movie theaters; Libraries, museums",Open,"Aug. 20, 2020",MS,Pausing
Outdoor and recreation,State parks; Gyms,Open,"Aug. 20, 2020",MS,Pausing
Retail,Retail stores,Reopened,"Aug. 20, 2020",MS,Pausing
Food and drink,"Restaurant dining, bars",Reopened,"Aug. 20, 2020",MS,Pausing
Personal care,Salons and barbershops; Tattoo parlors,Reopened,"Aug. 20, 2020",MS,Pausing
Houses of worship,,Reopened,"Aug. 20, 2020",MS,Pausing
Entertainment,"Casinos; Movie theaters; Libraries, museums",Reopened,"Aug. 20, 2020",MS,Pausing
Outdoor and recreation,State parks; Gyms,Reopened,"Aug. 20, 2020",MS,Pausing
Retail,Retail stores; Malls,Open,"Aug. 20, 2020",NJ,Pausing
Food and drink,Outdoor dining at restaurants,Open,"Aug. 20, 2020",NJ,Pausing
Personal care,"Hair salons, barbershops; Nail salons, tattoo parlors, spas, massage therapy, tanning salons",Open,"Aug. 20, 2020",NJ,Pausing
Houses of worship,,Open,"Aug. 20, 2020",NJ,Pausing
